Samples	N0	N1	N2	N3	N4	N5	N6	N7	N8
PD44889_49_branch_snp	0.000600914049830458	0.571328910511573	0.00822291021671827	0.335505823381984	0.0026796402771635	0.000533097449506118	0.0502792274804659	0.0308482972136223	1.17941913607548e-06
PD44889_4_branch_snp	0.00117644897584275	0.738274272067604	0.00742904381372279	0.166079177000092	0.00412565445026178	0.000434279415817029	0.0777360154312483	0.0047443740240654	7.34821346560118e-07
PD44889_50_branch_snp	0.000324108142697168	0.731795872660374	0.0493543433050712	0.193917133258679	0.00123980163173892	0.000477683570628699	0.02245976643737	0.000429051351783715	2.23964165733483e-06
PD44889_54_branch_snp	0.00225502781343603	0.66321865639709	0.0205887890457852	0.269472828412495	0.00498074454428755	0.00201283697047497	0.0209199828840394	0.0165451433461703	5.99058622165169e-06
PD44889_55_branch_snp	0.00226108578532947	0.582715292167426	0.0118698715292167	0.29750849564857	0.00394861168669706	0.00129382511396602	0.0612424368006631	0.039159552424368	8.28843762950684e-07
PD44889_58_branch_snp	0.00117118037812979	0.561081246806336	0.0132243229432805	0.22856821665815	0.00144915687276444	0.000727644353602453	0.192652018395503	0.00112621359223301	0
PD44889_59_branch_snp	0.00110301394511921	0.588164642375169	0.00684300494826811	0.370826810616284	0.00306072874493927	0.000682860998650472	0.0254844804318489	0.00383265856950067	1.79937022042285e-06
PD44889_60_branch_snp	0.00172343727952589	0.734111189501905	0.00634118809087061	0.187295611683364	0.00188090870608156	0.00163567094680401	0.0238837307746578	0.0431282630167913	0
PD44889_61_branch_snp	0.00171722105263158	0.753017684210526	0.0307547789473684	0.192384421052632	0.00519309473684211	0.000349052631578947	0.0155400421052632	0.00103915789473684	4.54736842105263e-06
PD44889_63_branch_snp	0.000912926315789474	0.749074105263158	0.0236738526315789	0.174555284210526	0.00331233684210526	0.000282442105263158	0.0467915789473684	0.00139713684210526	3.36842105263158e-07
PD44889_64_branch_snp	0.000921151637558908	0.782408142251792	0.00464678626589046	0.169964753871134	0.0116754187952952	0.000713635103560255	0.0278388974694072	0.00181442319116075	1.67914142014178e-05
PD44889_65_branch_snp	0.0017955758962624	0.744429661109295	0.00305753514220333	0.194291380625477	0.00696567505720824	0.00284057971014493	0.0429294976571864	0.0036890051214994	1.089680723548e-06
PD44889_6_branch_snp	0.00064501679731243	0.71523673012318	0.00778947368421053	0.159614781634938	0.00279148936170213	0.000443449048152296	0.11238790593505	0.00108846584546473	2.68756998880179e-06
PD44889_7_branch_snp	0.00134540432714439	0.7033653521559	0.0219812797299371	0.101502531839804	0.0476446217584778	0.00072119073193187	0.121373024397729	0.00206045726561301	6.13779346324996e-06
PD44889_8_branch_snp	0.00238286264441592	0.684661103979461	0.00552695763799743	0.158877406931964	0.00767875481386393	0.00115500641848524	0.138688703465982	0.00102406931964056	5.13478818998716e-06
PD44889_9_branch_snp	0.0012873399715505	0.738456614509246	0.0037230915125652	0.159784257942153	0.00685917496443812	0.00111948790896159	0.0869302987197724	0.00183641536273115	3.31910858226648e-06
PD44890_10_branch_snp	1.91157894736842e-05	0.00327098947368421	0.967082189473684	5.52421052631579e-05	0.000169684210526316	6.73684210526316e-06	0.000193684210526316	0.0292021894736842	1.68421052631579e-07
PD44890_11_branch_snp	3.86526315789474e-05	0.00565793684210526	0.967791915789474	0.000246568421052632	0.000576421052631579	1.59157894736842e-05	0.001208	0.0244645894736842	0
PD44890_12_branch_snp	2.45894736842105e-05	0.0178930526315789	0.931168589473684	0.00116042105263158	0.000546357894736842	1.06105263157895e-05	0.00192901052631579	0.0472673684210526	0
PD44890_13_branch_snp	6.88842105263158e-05	0.00644286315789474	0.989738105263158	0.000262315789473684	0.000699536842105263	2.05473684210526e-05	0.00200749473684211	0.000760084210526316	1.68421052631579e-07
PD44890_14_branch_snp	2.76210526315789e-05	0.0395058526315789	0.959041936842105	3.81473684210526e-05	0.000865347368421053	6.98947368421053e-06	0.000345347368421053	0.000167157894736842	1.6e-06
PD44890_15_branch_snp	4.24421052631579e-05	0.0157025684210526	0.957687073684211	0.000414484210526316	0.00080741052631579	3.19157894736842e-05	0.00211343157894737	0.0232001684210526	5.05263157894737e-07
PD44890_16_branch_snp	3.14947368421053e-05	0.00483738947368421	0.969959242105263	8.14315789473684e-05	0.000248084210526316	2.41684210526316e-05	0.000540884210526316	0.0242773052631579	0
PD44890_17_branch_snp	0.0484809263157895	0.139461389473684	0.602794863157895	0.000179873684210526	0.187867368421053	0.00912951578947368	0.00739536842105263	0.00469010526315789	5.89473684210526e-07
PD44890_18_branch_snp	0.0601660631578947	0.181395705263158	0.611053978947368	0.000218863157894737	0.122374315789474	0.0061637052631579	0.0175942736842105	0.00100547368421053	2.76210526315789e-05
